,RULE,BODY,HEAD,CONFIDENCE
0,"{'G38_Down', 'G41_Down'}",{'G41_Down'},{'G38_Down'},0.78125
1,"{'G1_Up', 'G67_Up'}",{'G67_Up'},{'G1_Up'},0.8064516129032258
2,"{'G1_Up', 'G67_Up'}",{'G1_Up'},{'G67_Up'},0.7246376811594203
3,"{'G88_Down', 'G24_Down'}",{'G24_Down'},{'G88_Down'},0.7936507936507936
4,"{'G88_Down', 'G24_Down'}",{'G88_Down'},{'G24_Down'},0.704225352112676
5,"{'G41_Down', 'G28_Down'}",{'G28_Down'},{'G41_Down'},0.7183098591549296
6,"{'G41_Down', 'G28_Down'}",{'G41_Down'},{'G28_Down'},0.796875
7,"{'G38_Down', 'G94_Up'}",{'G94_Up'},{'G38_Down'},0.8225806451612904
8,"{'G82_Down', 'G96_Down'}",{'G96_Down'},{'G82_Down'},0.7323943661971831
9,"{'G82_Down', 'G96_Down'}",{'G82_Down'},{'G96_Down'},0.7647058823529411
10,"{'G38_Down', 'G67_Up'}",{'G67_Up'},{'G38_Down'},0.8225806451612904
11,"{'G88_Down', 'G54_Up'}",{'G54_Up'},{'G88_Down'},0.7761194029850746
12,"{'G88_Down', 'G54_Up'}",{'G88_Down'},{'G54_Up'},0.7323943661971831
13,"{'G59_Up', 'G96_Down'}",{'G96_Down'},{'G59_Up'},0.8591549295774648
14,"{'G59_Up', 'G96_Down'}",{'G59_Up'},{'G96_Down'},0.8026315789473685
15,"{'G6_Up', 'G28_Down'}",{'G28_Down'},{'G6_Up'},0.704225352112676
16,"{'G6_Up', 'G28_Down'}",{'G6_Up'},{'G28_Down'},0.7575757575757576
17,"{'G59_Up', 'G38_Down'}",{'G38_Down'},{'G59_Up'},0.726027397260274
18,"{'G59_Up', 'G82_Down'}",{'G82_Down'},{'G59_Up'},0.8382352941176471
19,"{'G59_Up', 'G82_Down'}",{'G59_Up'},{'G82_Down'},0.75
20,"{'G72_Up', 'G96_Down'}",{'G96_Down'},{'G72_Up'},0.8309859154929577
21,"{'G72_Up', 'G96_Down'}",{'G72_Up'},{'G96_Down'},0.7972972972972973
22,"{'G59_Up', 'G72_Up'}",{'G72_Up'},{'G59_Up'},0.8378378378378378
23,"{'G59_Up', 'G72_Up'}",{'G59_Up'},{'G72_Up'},0.8157894736842105
24,"{'G82_Down', 'G13_Down'}",{'G13_Down'},{'G82_Down'},0.75
25,"{'G82_Down', 'G13_Down'}",{'G82_Down'},{'G13_Down'},0.75
26,"{'G6_Up', 'G13_Down'}",{'G13_Down'},{'G6_Up'},0.7352941176470589
27,"{'G6_Up', 'G13_Down'}",{'G6_Up'},{'G13_Down'},0.7575757575757576
28,"{'G10_Down', 'G70_Down'}",{'G70_Down'},{'G10_Down'},0.7575757575757576
29,"{'G10_Down', 'G70_Down'}",{'G10_Down'},{'G70_Down'},0.7142857142857143
30,"{'G59_Up', 'G6_Up'}",{'G6_Up'},{'G59_Up'},0.7727272727272727
31,"{'G1_Up', 'G54_Up'}",{'G54_Up'},{'G1_Up'},0.746268656716418
32,"{'G1_Up', 'G54_Up'}",{'G1_Up'},{'G54_Up'},0.7246376811594203
